1490;;Retail Purchase
1491;;Retail Purchase
1492;;Retail Purchase
1493;;Retail Purchase
1494;;Retail Purchase
1495;;Retail Purchase
1496;;Retail Purchase
1497;;Retail Purchase
1498;;Retail Purchase
1499;;Retail Purchase
1500;;Retail Purchase
1501;;Retail Purchase
1502;;Retail Purchase
1503;;Retail Purchase
1504;;Retail Purchase
1520; Gen Cont Residential Buildi;Retail Purchase
1521;;Retail Purchase
1522;;Retail Purchase
1524;;Retail Purchase
1525;;Retail Purchase
1526;;Retail Purchase
1527;;Retail Purchase
1528;;Retail Purchase
1529;;Retail Purchase
1530;;Retail Purchase
1531;;Retail Purchase
1711; Heating Plumbing Air Condit;Retail Purchase
1731; Electrical Contractors;Retail Purchase
1740; Masonry Stonework Tile Sett;Retail Purchase
1750; Carpentry Contractors;Retail Purchase
1761; Roofing And Siding Sheet Me;Retail Purchase
1771; Concrete Work Contractors;Retail Purchase
1799; Special Trade Contractors;Retail Purchase
2013;;Retail Purchase
2014;;Retail Purchase
2097;;Retail Purchase
2102;;Retail Purchase
2111;;Retail Purchase
2131;;Retail Purchase
2133;;Retail Purchase
2215;;Retail Purchase
2231;;Retail Purchase
2310;;Retail Purchase
2346;;Retail Purchase
2348;;Retail Purchase
2360;;Retail Purchase
2364;;Retail Purchase
2367;;Retail Purchase
2369;;Retail Purchase
2376;;Retail Purchase
2380;;Retail Purchase
2385;;Retail Purchase
2386;;Retail Purchase
2387;;Retail Purchase
2388;;Retail Purchase
2397;;Retail Purchase
2398;;Retail Purchase
2399;;Retail Purchase
2401;;Retail Purchase
2411;;Retail Purchase
2412;;Retail Purchase
2414;;Retail Purchase
2419;;Retail Purchase
2420;;Retail Purchase
2425;;Retail Purchase
2432;;Retail Purchase
2433;;Retail Purchase
2434;;Retail Purchase
2437;;Retail Purchase
2453;;Retail Purchase
2454;;Retail Purchase
2456;;Retail Purchase
2461;;Retail Purchase
2481;;Retail Purchase
2483;;Retail Purchase
2489;;Retail Purchase
2490;;Retail Purchase
2491;;Retail Purchase
2494;;Retail Purchase
2501;;Retail Purchase
2502;;Retail Purchase
2503;;Retail Purchase
2511;;Retail Purchase
2520;;Retail Purchase
2521;;Retail Purchase
2522;;Retail Purchase
2523;;Retail Purchase
2524;;Retail Purchase
2525;;Retail Purchase
2526;;Retail Purchase
2527;;Retail Purchase
2528;;Retail Purchase
2529;;Retail Purchase
2530;;Retail Purchase
2531;;Retail Purchase
2541;;Retail Purchase
2543;;Retail Purchase
2548;;Retail Purchase
2722;;Retail Purchase
2732;;Retail Purchase
2734;;Retail Purchase
2741; Misc-Publishing/Printing;Retail Purchase
2791; Typesetting/Plate Related;Retail Purchase
2842; Special Clean/Polish/Sanit;Retail Purchase
2912;;Retail Purchase
2941;;Retail Purchase
2942;;Retail Purchase
2946;;Retail Purchase
2961;;Retail Purchase
2994;;Retail Purchase
2995;;Retail Purchase
3000; United Airlines;Transportation
3001; American Airlines;Transportation
3002; Pan American;Transportation
3003;;Transportation
3004; DRAGONAIR;Transportation
3005; British Airways;Transportation
3006; Japan Air Lines;Transportation
3007; Air France;Transportation
3008; Lufthansa;Transportation
3009; Air Canada;Transportation
3010; KLM;Transportation
3011; Aeroflot;Transportation
3012; Qantas;Transportation
3013; Alitalia;Transportation
3014; Saudi Arabian Airlines;Transportation
3015; Swiss International Air Lin;Transportation
3016; SAS;Transportation
3017; South African Airways;Transportation
3018; Varig (Brazil);Transportation
3019; GERMANWINGS;Transportation
3020; Air-India;Transportation
3021; Air Algerie Airalgerei;Transportation
3022; PAL AIR;Transportation
3023; Mexicana;Transportation
3024; Pakistan Int'l;Transportation
3025; Air New Zealand;Transportation
3026; Emirates Airlines;Transportation
3027; UTA/InterAir;Transportation
3028; Air Malta;Transportation
3029; SN Brussels Airlines;Transportation
3030; Aerolineas Argentinas;Transportation
3031; Olympic Airways;Transportation
3032; El Al;Transportation
3033; Ansett Airlines;Transportation
3034; TAA (Australia);Transportation
3035; TAP (Portugal);Transportation
3036; VASP (Brazil);Transportation
3037; EgyptAir;Transportation
3038; Kuwait Airways;Transportation
3039; Avianca;Transportation
3040; Gulf Air (Bahrain);Transportation
3041; Balkan - Bulgarian Airlines;Transportation
3042; Finnair;Transportation
3043; Aer Lingus;Transportation
3044; Air Lanka;Transportation
3045; Nigeria Airways;Transportation
3046; Cruzeiro Do Sul (Bra.);Transportation
3047; THY (Turkey);Transportation
3048; Royal Air Maroc;Transportation
3049; Tunis Air;Transportation
3050; Icelandair;Transportation
3051; Austrian Airlines;Transportation
3052; Lan Air;Transportation
3053; AVIACO (Spain);Transportation
3054; Ladeco (Chile);Transportation
3055; LAB (Bolivia);Transportation
3056; JET AIR;Transportation
3057;(Obsolete)  East/West Air. (Aust);Transportation
3058; Delta;Transportation
3059; DBA AIRLINES;Transportation
3060; NWA Air;Transportation
3061; Continental;Transportation
3062; HAPAG-LLOYD EXPRESS AIRLINES;Transportation
3063; U.S. Airwys;Transportation
3064; Adria Airways;Transportation
3065; Air Inter;Transportation
3066; Southwest;Transportation
3067; Vanguard Airlines;Transportation
3068; AIR ASTANA;Transportation
3071; Air British Columbia;Transportation
3072;;Transportation
3075; Singapore Airlines;Transportation
3076; Aeromexico;Transportation
3077; Thai Airways;Transportation
3078; China Airlines;Transportation
3079; Jetstar Airways;Transportation
3081;(Obsolete)  Nordair;Transportation
3082; Korean Airlines;Transportation
3083; Airafrique;Transportation
3084; Eva Air;Transportation
3085; Midwest Express Airlines;Transportation
3086; Carnivalair;Transportation
3087; Metro Airlines;Transportation
3088; Croatia Air;Transportation
3089; Transaero;Transportation
3090; Qatar Airways Company W.L.L;Transportation
3092; Midway Airlines;Transportation
3094; Zambia Airways;Transportation
3095; Wardair (canada);Transportation
3096; Air Zimbabwe;Transportation
3097; Spanair;Transportation
3098; Asiana Airlines;Transportation
3099; Cathay Pacific;Transportation
3100; Malaysian Air Sys.;Transportation
3102; Iberia;Transportation
3103; Garuda (Indonesia);Transportation
3106; Braathens S.A.F.E(Nor);Transportation
3110; Wings Airways;Transportation
3111; British Midland;Transportation
3112; Windward Island;Transportation
3115; Tower Air;Transportation
3117; Viasa;Transportation
3118; Valley Airlines;Transportation
3125; Tan Sahsa;Transportation
3126; Talair;Transportation
3127; Taca Int;Transportation
3129; Surinam Airways;Transportation
3130; Sun World Int;Transportation
3131;;Transportation
3132; Frontier Airlines;Transportation
3133; Sunbelt Airlines;Transportation
3135; Sudan Airways;Transportation
3136; Qatar Airways Company W.L.L;Transportation
3137; Singleton;Transportation
3138; Simmons Airlines;Transportation
3143; Scenic Airlines;Transportation
3144; Virgin Atlantic   Viratl;Transportation
3145; San Juan;Transportation
3146; Luxair;Transportation
3148; Air Littoral  S.A.(LITTORAL;Transportation
3151; Air Zaire  Airzaire;Transportation
3154; Princeville;Transportation
